Wall time,Step,Value
1752608373.6440618,303,-31.745817184448242
1752608729.773621,304,-31.664306640625
1752609084.5158312,305,-31.65030860900879
1752609441.2979174,306,-31.7419490814209
1752609797.1883051,307,-31.409442901611328
1752610154.9902482,308,-31.747467041015625
1752610509.7890503,309,-31.760692596435547
1752610865.3596542,310,-31.2822322845459
1752611220.3519626,311,-31.65842056274414
1752611575.9997904,312,-31.697362899780273
1752611930.939845,313,-31.65108299255371
1752612287.452976,314,-31.824462890625
1752612643.7770016,315,-31.80887222290039
1752612999.9008143,316,-31.73768424987793
1752613353.682438,317,-31.697607040405273
1752613712.3395073,318,-31.852584838867188
1752614068.5287695,319,-31.748281478881836
1752614423.3839092,320,-31.88153839111328
1752614779.0928276,321,-31.89410400390625
1752615134.925476,322,-31.65155792236328
1752615491.3485293,323,-31.90325927734375
1752615849.2606876,324,-31.9049072265625
1752616205.5066054,325,-31.971139907836914
1752616560.5787642,326,-31.731178283691406
1752616916.392906,327,-31.902706146240234
1752617272.8906248,328,-31.95465850830078
1752617629.7827168,329,-31.9644832611084
1752617985.579273,330,-31.983671188354492
1752618342.6525574,331,-31.89113426208496
1752618696.880242,332,-31.9335994720459
1752619052.3187387,333,-32.05338668823242
1752619408.583312,334,-31.90962028503418
1752619765.5115156,335,-32.03458023071289
1752620123.84464,336,-32.10249710083008
1752620483.0040445,337,-31.99555015563965
1752620839.0547528,338,-32.01970672607422
1752621198.540727,339,-32.1134033203125
1752621555.0399656,340,-32.144798278808594
1752621913.3555264,341,-32.00631332397461
1752622269.5139449,342,-32.141475677490234
1752622627.408015,343,-32.078392028808594
1752622986.7218862,344,-32.16706848144531
1752623343.0311117,345,-32.12507629394531
1752623697.679355,346,-32.075416564941406
1752624054.4306505,347,-32.2320556640625
1752624413.4406946,348,-32.17808532714844
1752624769.1246176,349,-32.12936782836914
1752625126.1950674,350,-32.058712005615234
1752625482.6726925,351,-32.297996520996094
1752625842.4580142,352,-32.230716705322266
1752626197.6374078,353,-32.30093002319336
1752626554.2084012,354,-32.1943473815918
1752626908.4521732,355,-32.17182159423828
1752627265.3447068,356,-32.20972442626953
1752627621.5910804,357,-32.288578033447266
1752627979.3160574,358,-32.25254440307617
1752628334.6307378,359,-32.329345703125
1752628690.9371686,360,-32.173667907714844
1752629049.9376948,361,-32.34711456298828
1752629407.5519934,362,-32.30609893798828
1752629763.366838,363,-32.37057113647461
1752630124.1103969,364,-32.3791389465332
1752630481.2204158,365,-32.25932693481445
1752630839.0847619,366,-32.3116455078125
1752631194.189032,367,-32.379661560058594
1752631550.187296,368,-32.363250732421875
1752631906.2832856,369,-32.41935348510742
1752632262.0279937,370,-32.36336898803711
1752632619.875803,371,-32.40252685546875
1752632975.1847606,372,-32.41678237915039
1752633334.7813544,373,-32.43901062011719
1752633690.6476173,374,-32.45838928222656
1752634048.566445,375,-32.45976638793945
1752634405.968734,376,-32.49869155883789
1752634762.3394291,377,-32.475555419921875
1752635118.2153904,378,-32.497161865234375
1752635473.9960542,379,-32.45137023925781
1752635831.224295,380,-32.541893005371094
1752636188.9432604,381,-32.53443908691406
1752636546.6538544,382,-32.4478759765625
1752636905.1679382,383,-32.600460052490234
1752637262.1554298,384,-32.596466064453125
1752637622.0074832,385,-32.5543098449707
1752637976.0561826,386,-32.508636474609375
1752638336.7540798,387,-32.70076370239258
1752638694.2832148,388,-32.5523796081543
1752639048.3968928,389,-32.606563568115234
1752639407.1379669,390,-32.659019470214844
1752639761.8029463,391,-32.664791107177734
1752640117.0430467,392,-32.598751068115234
1752640475.4702544,393,-32.692970275878906
1752640833.8972654,394,-32.575904846191406
1752641189.8919733,395,-32.727272033691406
1752641547.5069492,396,-32.706947326660156
1752641906.3185349,397,-32.695167541503906
1752642262.197436,398,-32.77573776245117
1752642619.2961125,399,-32.604618072509766
1752642975.5252445,400,-32.78641891479492
1752643333.232518,401,-32.77159118652344
1752643689.1809223,402,-32.67422103881836
1752644046.7046695,403,-32.82835388183594
1752644404.7746646,404,-32.73241424560547
1752644763.4980886,405,-32.88309860229492
1752645120.070438,406,-32.712890625
1752645474.4751818,407,-32.923709869384766
1752645832.5133855,408,-32.76828384399414
1752646186.865113,409,-32.853458404541016
1752646543.0689821,410,-32.92483901977539
1752646899.5575428,411,-32.69619369506836
1752647257.481923,412,-32.85096740722656
1752647612.5309293,413,-32.77178955078125
1752647972.3061132,414,-32.9935188293457
1752648328.6399007,415,-32.91771697998047
1752648686.3069084,416,-32.844688415527344
1752649041.7571464,417,-32.860618591308594
1752649399.5502937,418,-32.90764236450195
1752649756.5558624,419,-32.99808883666992
1752650114.152351,420,-32.80500793457031
1752650472.687796,421,-33.007633209228516
1752650829.1621754,422,-32.805870056152344
1752651186.572276,423,-33.02588653564453
1752651543.2225335,424,-32.89120101928711
1752651902.186769,425,-32.99570846557617
1752652258.6777527,426,-33.07523727416992
1752652615.6862705,427,-33.0295295715332
1752652971.1519542,428,-33.187740325927734
1752653329.7055888,429,-32.96502685546875
1752653684.5876615,430,-33.09042739868164
1752654042.8973238,431,-33.10550308227539
1752654401.1992865,432,-32.907493591308594
1752654758.666126,433,-33.17284393310547
1752655114.6537912,434,-33.0229377746582
1752655471.9994228,435,-33.150421142578125
1752655829.275123,436,-33.136383056640625
1752656185.2002704,437,-33.005367279052734
1752656541.7186942,438,-33.260196685791016
1752656901.3530922,439,-33.12239456176758
1752657257.3480668,440,-33.12754821777344
1752657613.995626,441,-33.159584045410156
1752657969.7435665,442,-33.20188903808594
1752658326.0695028,443,-33.14301681518555
1752658683.5148232,444,-33.17536926269531
1752659039.5697072,445,-33.26915740966797
1752659398.6706405,446,-32.93201446533203
1752659756.207065,447,-33.20756912231445
1752660113.754042,448,-33.24665069580078
1752660471.0347495,449,-33.288455963134766
1752660827.7657928,450,-33.23907470703125
1752661183.32507,451,-33.27574920654297
1752661539.6065736,452,-33.28031539916992
1752661894.4830518,453,-33.33184814453125
1752662253.346647,454,-33.248287200927734
1752662611.096315,455,-33.26292037963867
1752662967.3371694,456,-33.27372741699219
1752663325.0923903,457,-33.35890579223633
1752663681.86819,458,-33.346641540527344
1752664039.268609,459,-33.40071487426758
1752664397.2664866,460,-33.232452392578125
1752664756.7768452,461,-33.418067932128906
1752665114.0019588,462,-33.4067497253418
1752665468.939563,463,-33.442501068115234
1752665828.5516036,464,-33.40463638305664
1752666184.2809393,465,-33.33859634399414
1752666541.734257,466,-33.482643127441406
1752666897.246515,467,-33.399654388427734
1752667255.0292149,468,-33.519649505615234
1752667611.8309608,469,-33.436946868896484
1752667969.9338224,470,-33.34127426147461
1752668324.8009255,471,-33.50450134277344
1752668680.940979,472,-33.505252838134766
1752669038.4211185,473,-33.45569610595703
1752669396.8553703,474,-33.561729431152344
1752669753.1836126,475,-33.516075134277344
1752670113.2655134,476,-33.39999008178711
1752670471.4082718,477,-33.52583694458008
1752670832.6320088,478,-33.68573760986328
1752671188.1076388,479,-33.455848693847656
1752671544.3126066,480,-33.61505889892578
1752671902.3526318,481,-33.61185073852539
1752672259.5517793,482,-33.32138442993164
1752672616.7474344,483,-33.68745803833008
1752672975.1588879,484,-33.64973068237305
1752673329.6950953,485,-33.53360366821289
1752673688.4733047,486,-33.55744934082031
1752674047.6129622,487,-33.6294059753418
1752674405.9679463,488,-33.616092681884766
1752674761.9947162,489,-33.57920455932617
1752675118.7975593,490,-33.751590728759766
1752675477.3777602,491,-33.676658630371094
1752675835.0618296,492,-33.56780242919922
1752676192.37022,493,-33.733299255371094
1752676550.330919,494,-33.70355224609375
1752676906.9551833,495,-33.72706985473633
1752677264.0826797,496,-33.60734939575195
1752677620.228633,497,-33.70893478393555
1752677978.6039238,498,-33.558380126953125
1752678337.3617709,499,-33.68595886230469
1752678695.1813211,500,-33.80107879638672
1752679054.0436268,501,-33.83995056152344
1752679412.7045782,502,-33.79301834106445
1752679769.8529146,503,-33.70930862426758
1752680127.2560382,504,-33.767967224121094
1752680484.0641122,505,-33.75938415527344
1752680843.4187603,506,-33.82966613769531
1752681199.6634429,507,-33.461490631103516
1752681555.5969503,508,-33.61669158935547
1752681912.1851423,509,-33.5817756652832
1752682269.6191068,510,-33.74985885620117
1752682625.8875637,511,-33.88104248046875
1752682986.7136414,512,-33.875736236572266
1752683342.3699684,513,-33.88134002685547
1752683700.440819,514,-33.79648208618164
1752684055.3192408,515,-33.857452392578125
1752684412.4166954,516,-33.804832458496094
1752684769.452435,517,-33.8137321472168
1752685125.627217,518,-33.843196868896484
1752685484.862518,519,-33.87372589111328
1752685842.3534408,520,-33.94453430175781
1752686200.2188315,521,-33.735591888427734
1752686556.3328304,522,-33.81310272216797
1752686911.760845,523,-33.9129753112793
1752687268.7371635,524,-33.964115142822266
1752687625.7609046,525,-33.98369598388672
1752687983.6454434,526,-33.996055603027344
1752688340.1701646,527,-33.94419479370117
1752688700.86698,528,-34.018550872802734
1752689060.397862,529,-33.995460510253906
1752689420.9754362,530,-33.73894119262695
1752689779.5124004,531,-34.141910552978516
1752690138.5176342,532,-33.86823272705078
1752690496.0353267,533,-33.96548843383789
1752690858.213082,534,-34.09867858886719
1752691214.972216,535,-34.13037872314453
1752691574.6813192,536,-34.0278205871582
1752691933.2141898,537,-33.898372650146484
1752692289.3512795,538,-34.05875778198242
1752692646.3783777,539,-33.891300201416016
1752693003.248512,540,-34.03386306762695
1752693361.1366732,541,-33.9367561340332
1752693720.3805563,542,-33.9522819519043
1752694080.8547456,543,-34.05173873901367
1752694438.309919,544,-34.27821731567383
1752694795.655676,545,-34.140018463134766
1752695153.6738324,546,-34.107906341552734
1752695512.939854,547,-34.11882400512695
1752695869.51536,548,-34.04814910888672
1752696226.324573,549,-34.267642974853516
1752696583.6805143,550,-34.08513641357422
1752696941.62486,551,-34.14487075805664
1752697300.7204437,552,-34.042720794677734
1752697658.9601257,553,-34.077396392822266
1752698018.2659361,554,-34.14258575439453
1752698375.918837,555,-34.255428314208984
1752698730.651119,556,-34.2091178894043
1752699089.6747906,557,-34.1060905456543
1752699444.7101977,558,-34.224815368652344
1752699801.761719,559,-34.25627136230469
1752700162.1623578,560,-34.001834869384766
1752700521.4286177,561,-34.22916030883789
1752700880.1758678,562,-34.27421951293945
1752701240.0525298,563,-34.15078353881836
1752701596.6926434,564,-34.16206741333008
1752701953.9786313,565,-34.341983795166016
1752702310.2292569,566,-34.259864807128906
1752702668.0228066,567,-34.04572677612305
1752703026.8082666,568,-34.1994743347168
1752703385.702438,569,-34.36758041381836
1752703742.9219868,570,-34.344913482666016
1752704100.0729868,571,-34.32728576660156
1752704459.3964708,572,-34.295684814453125
1752704816.1731782,573,-34.321998596191406
1752705177.0037544,574,-34.2579231262207
1752705535.8451388,575,-34.1435432434082
1752705896.052213,576,-34.3181266784668
1752706255.8182561,577,-34.38412094116211
1752706615.3184395,578,-34.481990814208984
1752706973.9396791,579,-34.37388229370117
1752707330.0940318,580,-34.16975784301758
1752707687.0695283,581,-34.20833206176758
1752708045.4195728,582,-34.38471984863281
1752708401.3945842,583,-34.3412971496582
1752708759.0171275,584,-34.32823181152344
1752709115.3903744,585,-34.45090866088867
1752709472.997191,586,-34.37138366699219
1752709829.4753823,587,-34.37061309814453
1752710188.8013642,588,-34.390193939208984
1752710546.579102,589,-34.227108001708984
1752710905.008489,590,-34.44419479370117
1752711262.9386559,591,-34.37970733642578
1752711621.6672275,592,-34.40291976928711
1752711981.0930731,593,-34.39748764038086
1752712336.9637883,594,-34.533809661865234
1752712695.0464005,595,-34.24509048461914
1752713055.5016878,596,-34.49484634399414
1752713414.8013494,597,-34.53444290161133
1752713772.0693762,598,-34.44584655761719
1752714129.3260822,599,-34.4706916809082
1752714488.9027855,600,-34.5651741027832
